,ID,Name,TF,MF,AUA,FD,CF,TSP
0,Ego_Node,E,0,0,0,0,[],0
1,3124263227,M,77,2238,1544,-1,['0'],0
2,606616765,M,137,15944,2563,-1,['0'],0
3,4017022265,Y,21,311,1336,-1,['0'],0
4,807202098102341632,O,110,322,922,-1,['0'],0
5,3190651188,S,186,2643,1501,-1,['3124263227'],0.9233333333333333
6,928022995964190720,U,273,688381,589,-1,['3124263227'],0.9233333333333333
7,997774805511360512,t,0,204994,396,-1,['3124263227'],0.6155555555555555
8,1043128215613648898,I,195,1169,271,-1,['3124263227'],0.8440700152207001
9,777788328280293376,s,1,226024,1003,-1,['3124263227'],0.6186333333333333
10,1105078367160803328,S,15,42,100,-1,['3124263227'],0.4382671232876712
11,929656193810948097,A,163,572,584,-1,['3124263227'],0.9233333333333333
12,209811713,T,2148,552778,3155,-1,['3124263227'],0.9233333333333333
13,749125950944735232,s,116,39,1082,-1,['3124263227'],0.9233333333333333
14,286828448,n,224,286,2979,-1,['3124263227'],0.9233333333333333
15,208503303,s,4,337,3157,-1,['3124263227'],0.6278666666666667
16,426736503,p,242,33421,2756,-1,['3124263227'],0.9233333333333333
17,4821501868,S,221,67082,1249,-1,['3124263227'],0.9233333333333333
18,36803580,s,8,5075230,3702,-1,['3124263227'],0.6401777777777778
19,3946006023,R,71,122,1345,-1,['3124263227'],0.8340777777777778
20,2901846037,E,197,11596,1676,-1,['3124263227'],0.9233333333333333
21,718938043579637760,H,65,119699,1166,-1,['3124263227'],0.8156111111111111
22,954549404,D,861,3160,2404,-1,['3124263227'],0.9233333333333333
23,4754535128,N,62,2642,1253,-1,['3124263227'],0.8063777777777779
24,32937363,a,51,170426,3714,-1,['3124263227'],0.7725222222222221
25,33857528,n,355,2653,3711,-1,['3124263227'],0.9233333333333333
26,1018392565694033920,m,19,175,339,-1,['3124263227'],0.6521094368340944
27,2266227895,S,27,86,1999,-1,['3124263227'],0.6986555555555556
28,3065618342,d,1312,1247672,1565,-1,['3124263227'],0.9233333333333333
29,857708885238571009,M,1,22,783,-1,['3124263227'],0.6186333333333333
30,982679202150445057,P,39,224,438,-1,['3124263227'],0.735588888888889
31,2733966036,R,248,94406,1769,-1,['3124263227'],0.9233333333333333
32,412219206,H,631,15330,2774,-1,['3124263227'],0.9233333333333333
33,810947073348661248,T,65,900,912,-1,['3124263227'],0.8156111111111111
34,2464884500,a,624,4270,1880,-1,['3124263227'],0.9233333333333333
35,327746094,i,718,30966,2909,-1,['3124263227'],0.9233333333333333
36,862761033168977921,b,5,389,769,-1,['3124263227'],0.6309444444444443
37,2920364820,B,18,1405,1656,-1,['3124263227'],0.6709555555555555
38,20165115,Y,39,30,3786,-1,['3124263227'],0.735588888888889
39,2731921369,I,39,249,1770,-1,['3124263227'],0.735588888888889
40,175675929,I,256,19324,3238,-1,['3124263227'],0.9233333333333333
41,1383821408,o,106,240,2244,-1,['3124263227'],0.9233333333333333
42,2236489106,O,160,108,2019,-1,['3124263227'],0.9233333333333333
43,2413152589,B,429,1562,1911,-1,['3124263227'],0.9233333333333333
44,3298896642,N,289,14688,1422,-1,['3124263227'],0.9233333333333333
45,785205082262503424,T,126,19410,983,-1,['3124263227'],0.9233333333333333
46,55778683,R,23,2829,3630,-1,['3124263227'],0.6863444444444444
47,2526559224,I,174,650,1849,-1,['3124263227'],0.9233333333333333
48,4403462063,D,49,1015,1290,-1,['3124263227'],0.7663666666666668
49,230471671,i,64,261,3098,-1,['3124263227'],0.8125333333333333
50,722125078230605832,P,126,662,1157,-1,['3124263227'],0.9233333333333333
51,884629777,S,207,245,2437,-1,['3124263227'],0.9233333333333333
52,4546841895,D,160,748,1277,-1,['3124263227'],0.9233333333333333
53,721716125973811200,M,137,601,1158,-1,['3124263227'],0.9233333333333333
54,3035268962,K,21,557,1579,-1,['3124263227'],0.680188888888889
55,729934614706409472,M,9,520,1135,-1,['3124263227'],0.6432555555555556
56,701394579031986176,O,90,969,1214,-1,['3124263227'],0.8925555555555555
57,716274190714855426,M,27,425,1173,-1,['3124263227'],0.6986555555555556
58,723587058200133633,B,4,9,1153,-1,['3124263227'],0.4585888888888889
59,584920332,A,44,2498,2587,-1,['3124263227'],0.7509777777777779
60,4274606182,n,159,8957,1302,-1,['3124263227'],0.9233333333333333
61,3152137353,T,104,2400,1532,-1,['3124263227'],0.9233333333333333
62,4451612253,K,20,576,1286,-1,['3124263227'],0.6771111111111112
63,2899665685,p,19,21,1678,-1,['3124263227'],0.6740333333333334
64,3257526846,L,17,73,1453,-1,['3124263227'],0.6678777777777777
65,1864545979,N,104,218,2104,-1,['3124263227'],0.9233333333333333
66,1379389387,G,58,1568,2246,-1,['3124263227'],0.7940666666666667
67,603387566,g,52,203,2566,-1,['3124263227'],0.7756
68,2943471833,B,22,335,1635,-1,['3124263227'],0.6832666666666666
69,2813856528,T,123,136,1737,-1,['3124263227'],0.9233333333333333
70,14894469,k,170,11548,4043,-1,['3124263227'],0.9233333333333333
71,2172483846,D,280,1070,2054,-1,['3124263227'],0.9233333333333333
72,1626227743,P,126,426,2153,-1,['3124263227'],0.9233333333333333
73,192206379,s,484,559,3196,-1,['3124263227'],0.9233333333333333
74,917556241,D,59,1319,2422,-1,['3124263227'],0.7971444444444444
75,2827619605,P,75,1882,1730,-1,['3124263227'],0.8463888888888889
76,2730120030,k,38,1793,1771,-1,['3124263227'],0.7325111111111111
77,2835414151,I,263,2250,1725,-1,['3124263227'],0.9233333333333333
78,2888885768,M,98,367,1689,-1,['3124263227'],0.9171777777777778
79,954234696,D,105,3117,2405,-1,['3124263227'],0.9233333333333333
80,573004912,S,55,1820,2600,-1,['3124263227'],0.7848333333333333
81,2176011943,S,293,3389,2052,-1,['3124263227'],0.9233333333333333
82,476929955,a,332,2372,2699,-1,['606616765'],1.0
83,371921181,S,122,429249,2838,-1,['606616765'],1.0
84,1006419421244678144,G,1513,693585,372,-1,['606616765'],1.0
85,4843391011,C,456,1267,1234,-1,['606616765'],1.0
86,461414641,D,503,76181,2716,-1,['606616765'],1.0
87,294993710,B,614,105577,2964,-1,['606616765'],1.0
88,934156339873325056,T,2695,671,572,-1,['606616765'],1.0
89,930096836593012736,S,384,131,583,-1,['606616765'],1.0
90,287285725,S,119,1296,2978,-1,['606616765'],1.0
91,180630184,m,95,33945,3225,-1,['606616765'],0.9833333333333334
92,21164804,s,276,748580,3773,-1,['606616765'],1.0
93,2378426935,i,188,40703,1929,-1,['606616765'],1.0
94,4485369557,s,100,850,1283,-1,['606616765'],1.0
95,893590198684065792,r,398,1125,684,-1,['606616765'],1.0
96,4643856562,M,52,616,1268,-1,['606616765'],0.84
97,127954853,P,192,1875,3368,-1,['606616765'],1.0
98,297534081,S,103,1976,2960,-1,['606616765'],1.0
99,14649689,C,787,172947,4063,-1,['606616765'],1.0
100,705482834392256512,i,87,5152,1203,-1,['606616765'],0.9566666666666667
101,25719962,A,349,457157,3742,-1,['606616765'],1.0
102,838352992042639360,l,0,15300,836,-1,['606616765'],0.6666666666666666
103,405746052,c,164,26259,2783,-1,['606616765'],1.0
104,926171746616643584,x,34,2422,594,-1,['606616765'],0.7799999999999999
105,1679822588,G,360,93986,2131,-1,['606616765'],1.0
106,2733900258,h,27,44179,1769,-1,['606616765'],0.7566666666666667
107,951880333909110784,P,205,3302,523,-1,['606616765'],1.0
108,372142346,s,3304,135931,2837,-1,['606616765'],1.0
109,40970407,s,499,1518,3684,-1,['606616765'],1.0
110,428450334,x,55,87887,2754,-1,['606616765'],0.85
111,298890190,G,133,36875,2957,-1,['606616765'],1.0
112,542139063,T,738,165439,2636,-1,['606616765'],1.0
113,1579158895,L,273,26907,2171,-1,['606616765'],1.0
114,2719527086,J,0,27984,1775,-1,['606616765'],0.6666666666666666
115,33473521,z,693,269629,3712,-1,['606616765'],1.0
116,69669881,r,42,3775,3582,-1,['606616765'],0.8066666666666666
117,244635034,p,94,529,3063,-1,['606616765'],0.98
118,373453224,M,294,18510,2835,-1,['606616765'],1.0
119,375193977,C,412,7503,2832,-1,['606616765'],1.0
120,780104972,X,843,1115223,2489,-1,['606616765'],1.0
121,90420314,A,140,27030025,3502,-1,['606616765'],1.0
122,19191569,R,1239,1775,3803,-1,['606616765'],1.0
123,377016299,B,661,14121,2829,-1,['606616765'],1.0
124,2914500087,f,33,1247,1652,-1,['606616765'],0.7766666666666667
125,112810446,d,212,44,3417,-1,['606616765'],1.0
126,633523,v,382,30349,4539,-1,['606616765'],1.0
127,206263351,a,617,180648,3162,-1,['606616765'],1.0
128,771355174904422401,n,68,116737,1021,-1,['606616765'],0.8933333333333334
129,792237300,s,116,1052,2484,-1,['606616765'],1.0
130,272137584,d,142,136558,3008,-1,['606616765'],1.0
131,1292361,H,1720,15232,4478,-1,['606616765'],1.0
132,31296704,C,2973,50141,3717,-1,['606616765'],1.0
133,54464318,s,282,80418,3634,-1,['606616765'],1.0
134,490366511,N,261,1425,2684,-1,['606616765'],1.0
135,740311166,a,120,11589,2508,-1,['606616765'],1.0
136,132248836,J,868,28660,3355,-1,['606616765'],1.0
137,870555360196677632,N,115,168,747,-1,['606616765'],1.0
138,2709152000,N,68,163319,1779,-1,['606616765'],0.8933333333333334
139,17989826,B,982,27984,3844,-1,['606616765'],1.0
140,210944652,j,1088,144030,3152,-1,['606616765'],1.0
141,16926230,s,483,7133,3891,-1,['606616765'],1.0
142,1455383852,l,266,3095,2217,-1,['606616765'],1.0
143,1498183165,i,192,286,2200,-1,['606616765'],1.0
144,469590968,S,473,605,2707,-1,['606616765'],1.0
145,45812919,f,273,129,3662,-1,['606616765'],1.0
146,2210728777,J,381,14994,2034,-1,['606616765'],1.0
147,109344609,K,101,139504,3429,-1,['606616765'],1.0
148,180670967,M,332,218309,3225,-1,['606616765'],1.0
149,248414574,t,264,462242,3055,-1,['606616765'],1.0
150,83820762,D,196,575093,3529,-1,['606616765'],1.0
151,511702541,H,80,98,2665,-1,['606616765'],0.9333333333333332
152,897861037,S,1143,441254,2431,-1,['606616765'],1.0
153,20586677,d,269,170102,3780,-1,['606616765'],1.0
154,177564924,K,1200,199286,3233,-1,['606616765'],1.0
155,112344837,L,421,102486,3418,-1,['606616765'],1.0
156,426026523,P,189,14225,2757,-1,['606616765'],1.0
157,1909243326,R,1149,7514,2092,-1,['606616765'],1.0
158,6693252,p,620,68620,4393,-1,['606616765'],1.0
159,137338921,s,196,95374,3341,-1,['606616765'],1.0
160,437781055,d,247,130603,2743,-1,['606616765'],1.0
161,381007605,S,329,99238,2822,-1,['606616765'],1.0
162,3748991015,m,77,82,1365,-1,['606616765'],0.9233333333333333
163,3194296426,2,116,89,1519,-1,['606616765'],1.0
164,993681445,L,136,16897,2386,-1,['606616765'],1.0
165,42067255,s,5798,17245,3679,-1,['606616765'],1.0
166,432311300,g,116,184474,2749,-1,['606616765'],1.0
167,41338235,m,171,160,3682,-1,['606616765'],1.0
168,282348945,M,47,1488028,2987,-1,['606616765'],0.8233333333333333
169,142399007,O,224,157,3327,-1,['606616765'],1.0
170,24166202,j,324,1466096,3750,-1,['606616765'],1.0
171,277023712,j,87,137,2998,-1,['606616765'],0.9566666666666667
172,64565898,M,37,2158763,3599,-1,['606616765'],0.79
173,28706024,P,462,32044997,3728,-1,['606616765'],1.0
174,823027280,a,1181,314,2469,-1,['606616765'],1.0
175,14304857,G,201,15545,4093,-1,['606616765'],1.0
176,149981014,S,265,83,3307,-1,['606616765'],1.0
177,39103920,S,993,1238,3692,-1,['606616765'],1.0
178,132715701,g,589,516,3353,-1,['606616765'],1.0
179,1328856151,a,2513,5223,2266,-1,['606616765'],1.0
180,33464639,s,558,6655,3712,-1,['606616765'],1.0
181,255747911,E,666,1486550,3039,-1,['606616765'],1.0
